[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1432776391.982000 5/28/2015, 1:26:31 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, A269
INFO, WEIGHT, 22.300
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, m = 0.0223g
INFO, SEQUENCE FILE: FC_300K-5K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1432776391.979,,2.500000e+002,2.999995e+002,1.481564e-006,0.000000e+000,3.739877e-001,0.000000e+000,3,4.684491e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.031494e-002,0,0,0,
1432776402.194,,2.500000e+002,2.999893e+002,1.488904e-006,0.000000e+000,4.355659e-001,0.000000e+000,3,4.847941e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.019287e-002,0,0,0,
1432776520.456,,2.500000e+002,2.976877e+002,1.516053e-006,0.000000e+000,3.878365e-001,0.000000e+000,3,4.800152e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.837036e-001,0,0,0,
1432776532.420,,2.500000e+002,2.970646e+002,1.487727e-006,0.000000e+000,4.269757e-001,0.000000e+000,3,4.775021e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.820068e-001,0,1,0,
1432776554.886,,2.500000e+002,2.954001e+002,1.512410e-006,0.000000e+000,4.386821e-001,0.000000e+000,3,4.622875e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,9.710999e-001,0,1,0,
1432776565.873,,2.500000e+002,2.941821e+002,1.516034e-006,0.000000e+000,4.269626e-001,0.000000e+000,3,4.616692e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.129395e+000,0,1,0,
1432776578.787,,2.500000e+002,2.927026e+002,1.522465e-006,0.000000e+000,4.345945e-001,0.000000e+000,3,4.744422e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.184906e+000,0,1,0,
1432776589.131,,2.500000e+002,2.912443e+002,1.505218e-006,0.000000e+000,4.640111e-001,0.000000e+000,3,4.747450e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.306610e+000,0,1,0,
1432776601.535,,2.500000e+002,2.895696e+002,1.482699e-006,0.000000e+000,4.708681e-001,0.000000e+000,3,4.550097e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.584290e+000,0,1,0,
1432776612.161,,2.500000e+002,2.877605e+002,1.475251e-006,0.000000e+000,4.918647e-001,0.000000e+000,3,4.533606e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.506409e+000,0,1,0,
