[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1432842693.145000 5/29/2015, 7:51:33 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, A269
INFO, WEIGHT, 22.300
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, m = 0.0223g
INFO, SEQUENCE FILE: 7T_hysteresis_sweep.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1432842693.142,,7.000000e+004,6.007670e+001,-1.956285e-003,0.000000e+000,-5.592235e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.118301e-002,0,1,0,
1432842703.106,,7.000000e+004,6.006171e+001,-1.948256e-003,0.000000e+000,-5.575523e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.808136e-003,0,1,0,
1432842865.821,,6.000000e+004,5.999477e+001,-1.762516e-003,0.000000e+000,-5.604311e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.762390e-003,0,0,0,
1432842875.845,,6.000000e+004,5.999564e+001,-1.772346e-003,0.000000e+000,-5.606264e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.509521e-003,0,0,0,
1432843037.383,,5.000000e+004,5.999741e+001,-1.561300e-003,0.000000e+000,-5.646023e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.509521e-003,0,0,0,
1432843047.206,,5.000000e+004,5.999565e+001,-1.566598e-003,0.000000e+000,-5.610723e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1432843213.143,,4.000000e+004,6.000092e+001,-1.338969e-003,0.000000e+000,-5.654342e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1432843223.216,,4.000000e+004,6.000004e+001,-1.339038e-003,0.000000e+000,-5.647757e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.758575e-003,0,1,0,
1432843380.398,,3.000000e+004,6.000092e+001,-1.089057e-003,0.000000e+000,-5.662653e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1432843390.422,,3.000000e+004,5.999741e+001,-1.089340e-003,0.000000e+000,-5.658610e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,7.030487e-003,0,1,0,
1432843546.290,,2.000000e+004,5.999916e+001,-8.022452e-004,0.000000e+000,-5.678336e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.520966e-003,0,1,0,
1432843556.553,,2.000000e+004,6.000532e+001,-8.031715e-004,0.000000e+000,-5.679897e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.758575e-003,0,1,0,
1432843719.138,,1.000000e+004,5.999741e+001,-4.681062e-004,0.000000e+000,-5.694971e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.406860e-002,0,1,0,
1432843729.304,,1.000000e+004,6.000444e+001,-4.666010e-004,0.000000e+000,-5.703519e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,7.041931e-003,0,1,0,
1432843845.887,,9.000000e+003,5.999740e+001,-4.300666e-004,0.000000e+000,-5.702190e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1432843855.804,,9.000000e+003,5.999652e+001,-4.306631e-004,0.000000e+000,-5.675766e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.747131e-003,0,1,0,
1432843976.137,,7.000000e+003,6.000092e+001,-3.513211e-004,0.000000e+000,-5.715809e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.528595e-003,0,1,0,
1432843986.352,,7.000000e+003,6.000005e+001,-3.516400e-004,0.000000e+000,-5.697123e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.290985e-003,0,1,0,
1432844106.058,,5.000000e+003,5.999652e+001,-2.679632e-004,0.000000e+000,-5.714524e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.800507e-003,0,1,0,
1432844116.083,,5.000000e+003,5.999828e+001,-2.684169e-004,0.000000e+000,-5.714624e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.762390e-003,0,1,0,
1432844234.915,,3.000000e+003,5.999828e+001,-1.781371e-004,0.000000e+000,-5.810582e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.762390e-003,0,0,0,
1432844254.403,,3.000000e+003,5.999213e+001,-1.789876e-004,0.000000e+000,-5.679078e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.517151e-003,0,0,0,
1432844373.587,,1.000000e+003,5.999564e+001,-3.233434e-005,0.000000e+000,-1.298648e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.509521e-003,0,0,0,
1432844383.611,,1.000000e+003,5.999740e+001,-3.248542e-005,0.000000e+000,-1.293460e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1432844494.006,,5.000000e+002,5.999741e+001,-1.338046e-005,0.000000e+000,-1.399017e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,7.030487e-003,0,0,0,
1432844503.970,,5.000000e+002,5.999389e+001,-1.689872e-005,0.000000e+000,-1.301840e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1432844607.643,,4.000000e+002,5.999476e+001,-1.028278e-005,0.000000e+000,-1.406977e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.279541e-003,0,0,0,
1432844617.464,,4.000000e+002,5.999300e+001,-1.091315e-005,0.000000e+000,-1.360581e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.770020e-003,0,0,0,
1432844721.139,,3.000000e+002,5.999828e+001,-6.346441e-006,0.000000e+000,-1.410244e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.268097e-003,0,1,0,
1432844731.211,,3.000000e+002,5.999477e+001,-6.822741e-006,0.000000e+000,-1.399534e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.762390e-003,0,1,0,
1432844834.637,,2.000000e+002,6.000092e+001,-4.938203e-006,0.000000e+000,-1.381088e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.528595e-003,0,1,0,
1432844844.662,,2.000000e+002,5.999652e+001,-3.967147e-006,0.000000e+000,-1.420008e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.271912e-003,0,1,0,
1432844948.451,,1.000000e+002,5.999740e+001,-1.618216e-006,0.000000e+000,-1.451949e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1432844958.476,,1.000000e+002,6.000180e+001,-2.212702e-006,0.000000e+000,-1.425566e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.770020e-003,0,1,0,
1432845089.245,,0.000000e+000,6.000268e+001,3.369697e-006,0.000000e+000,-6.280727e-001,0.000000e+000,3,3.884507e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.520966e-003,0,1,0,
1432845099.771,,0.000000e+000,5.999917e+001,2.803478e-006,0.000000e+000,-6.571302e-001,0.000000e+000,3,7.810031e-002,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,7.038116e-003,0,1,0,
1432845198.245,,-1.000000e+002,6.000268e+001,1.483750e-005,0.000000e+000,-5.452041e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.520966e-003,0,1,0,
1432845208.709,,-1.000000e+002,6.000269e+001,7.178488e-006,0.000000e+000,-1.188037e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1432845313.215,,-2.000000e+002,6.000180e+001,1.180480e-005,0.000000e+000,-1.263178e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.279541e-003,0,1,0,
1432845323.929,,-2.000000e+002,5.999741e+001,9.603818e-006,0.000000e+000,-1.307598e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.509521e-003,0,1,0,
