[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1432763032.740000 5/28/2015, 9:43:52 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, A269
INFO, WEIGHT, 22.300
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, m = 0.0223g
INFO, SEQUENCE FILE: cool_zero_field.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1432763032.718,,0.000000e+000,2.999893e+002,2.728341e-007,0.000000e+000,6.228712e-001,0.000000e+000,3,5.637025e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.019287e-002,0,1,0,
1432763043.684,,0.000000e+000,2.999842e+002,2.841738e-007,0.000000e+000,6.076704e-001,0.000000e+000,3,5.114067e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1432763204.914,,0.000000e+000,2.943196e+002,2.804143e-007,0.000000e+000,8.023513e-001,0.000000e+000,3,4.965135e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.110901e+000,0,1,0,
1432763216.379,,0.000000e+000,2.929216e+002,2.953736e-007,0.000000e+000,6.829818e-001,0.000000e+000,3,5.512102e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.274506e+000,0,1,0,
1432763245.097,,0.000000e+000,2.889446e+002,2.583003e-007,0.000000e+000,7.058296e-001,0.000000e+000,3,5.710783e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.463501e+000,0,1,0,
1432763255.991,,0.000000e+000,2.871724e+002,2.840859e-007,0.000000e+000,6.949960e-001,0.000000e+000,3,4.440516e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.536987e+000,0,1,0,
1432763277.078,,0.000000e+000,2.836813e+002,2.914383e-007,0.000000e+000,7.745453e-001,0.000000e+000,3,4.120297e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.913300e+000,0,1,0,
1432763289.044,,0.000000e+000,2.813225e+002,3.181236e-007,0.000000e+000,7.525025e-001,0.000000e+000,3,4.075832e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.780396e+000,0,1,0,
1432763304.702,,0.000000e+000,2.783360e+002,3.081488e-007,0.000000e+000,6.308580e-001,0.000000e+000,3,6.439635e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.851990e+000,0,1,0,
1432763316.524,,0.000000e+000,2.760872e+002,3.035931e-007,0.000000e+000,6.845124e-001,0.000000e+000,3,5.144342e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.904297e+000,0,1,0,
