[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1473341040.718000 9/9/2016, 1:24:00 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, A344
INFO, WEIGHT, 10.500
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, m = 0.0105g
INFO, SEQUENCE FILE: FC_120K-5K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1473341040.700,,5.000000e+001,1.200089e+002,-4.277318e-006,0.000000e+000,9.325366e-002,0.000000e+000,3,2.364769e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.295898e-003,0,1,0,
1473341052.915,,5.000000e+001,1.200106e+002,-4.301953e-006,0.000000e+000,9.608114e-002,0.000000e+000,3,2.414699e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1473341064.921,,5.000000e+001,1.200089e+002,-4.324157e-006,0.000000e+000,9.341822e-002,0.000000e+000,3,2.474889e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.295898e-003,0,1,0,
1473341077.580,,5.000000e+001,1.200073e+002,-4.284359e-006,0.000000e+000,9.596065e-002,0.000000e+000,3,2.392135e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1473341322.482,,5.000000e+001,1.144583e+002,-4.236188e-006,0.000000e+000,9.300531e-002,0.000000e+000,3,2.353663e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.604996e-001,0,1,0,
1473341335.482,,5.000000e+001,1.137167e+002,-4.231358e-006,0.000000e+000,9.513394e-002,0.000000e+000,3,2.297118e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.603027e-001,0,1,0,
1473341348.496,,5.000000e+001,1.128647e+002,-4.220564e-006,0.000000e+000,9.432644e-002,0.000000e+000,3,2.235642e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.900955e-001,0,1,0,
1473341361.710,,5.000000e+001,1.121391e+002,-4.245043e-006,0.000000e+000,9.449822e-002,0.000000e+000,3,2.336349e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.027985e-001,0,1,0,
1473341401.866,,5.000000e+001,1.095602e+002,-4.219946e-006,0.000000e+000,9.070745e-002,0.000000e+000,3,2.274357e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.874008e-001,0,0,0,
1473341413.438,,5.000000e+001,1.086998e+002,-4.210553e-006,0.000000e+000,9.108146e-002,0.000000e+000,3,2.273039e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.881027e-001,0,0,0,
1473341426.903,,5.000000e+001,1.077933e+002,-4.185186e-006,0.000000e+000,9.184354e-002,0.000000e+000,3,2.213476e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,7.523041e-001,0,0,0,
1473341441.394,,5.000000e+001,1.066929e+002,-4.187331e-006,0.000000e+000,9.020378e-002,0.000000e+000,3,2.234215e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,7.537003e-001,0,0,0,
1473341472.610,,5.000000e+001,1.041920e+002,-4.134799e-006,0.000000e+000,9.028954e-002,0.000000e+000,3,2.127289e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.162003e-001,0,0,0,
1473341484.881,,5.000000e+001,1.031781e+002,-4.139619e-006,0.000000e+000,9.074495e-002,0.000000e+000,3,2.162672e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.333054e-001,0,0,0,
1473341499.551,,5.000000e+001,1.019266e+002,-4.099026e-006,0.000000e+000,8.851425e-002,0.000000e+000,3,2.066717e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.698044e-001,0,0,0,
1473341512.934,,5.000000e+001,1.008920e+002,-4.078616e-006,0.000000e+000,9.129114e-002,0.000000e+000,3,1.996161e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.556976e-001,0,0,0,
1473341534.209,,5.000000e+001,9.889280e+001,-4.069303e-006,0.000000e+000,9.005494e-002,0.000000e+000,3,2.009668e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,9.266052e-001,0,0,0,
1473341547.174,,5.000000e+001,9.777899e+001,-4.022328e-006,0.000000e+000,9.039085e-002,0.000000e+000,3,1.915382e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,9.180908e-001,0,0,0,
