[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1473289632.547000 9/8/2016, 11:07:12 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, A344
INFO, WEIGHT, 10.500
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, m = 0.0105g
INFO, SEQUENCE FILE: 7T_hysteresis_sweep_hi_res_zero_n4.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1473289632.546,,7.000000e+004,1.999791e+001,1.235335e-003,0.000000e+000,8.505881e-003,0.000000e+000,3,9.516765e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.159119e-003,0,0,0,
1473289645.011,,7.000000e+004,1.999979e+001,1.235177e-003,0.000000e+000,8.599884e-003,0.000000e+000,3,9.516449e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.611710e-003,0,0,0,
1473289659.279,,7.000000e+004,2.000276e+001,1.235167e-003,0.000000e+000,8.668194e-003,0.000000e+000,3,9.516043e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1473289671.493,,7.000000e+004,2.000141e+001,1.235255e-003,0.000000e+000,8.669795e-003,0.000000e+000,3,9.516728e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.397797e-004,0,0,0,
1473289840.663,,6.000000e+004,2.000061e+001,1.236871e-003,0.000000e+000,7.255847e-003,0.000000e+000,3,9.520600e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.149582e-003,0,0,0,
1473289852.985,,6.000000e+004,2.000195e+001,1.236739e-003,0.000000e+000,7.191305e-003,0.000000e+000,3,9.522156e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.397797e-004,0,0,0,
1473289864.954,,6.000000e+004,2.000276e+001,1.236889e-003,0.000000e+000,7.233722e-003,0.000000e+000,3,9.521152e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1473289876.980,,6.000000e+004,2.000222e+001,1.236792e-003,0.000000e+000,7.304279e-003,0.000000e+000,3,9.520875e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1473290046.403,,5.000000e+004,1.999736e+001,1.236983e-003,0.000000e+000,6.357372e-003,0.000000e+000,3,9.526324e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.070023e-003,0,0,0,
1473290058.726,,5.000000e+004,2.000249e+001,1.236920e-003,0.000000e+000,6.308186e-003,0.000000e+000,3,9.525971e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.397797e-004,0,0,0,
1473290073.940,,5.000000e+004,1.999979e+001,1.237018e-003,0.000000e+000,6.359283e-003,0.000000e+000,3,9.525408e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.700806e-003,0,0,0,
1473290089.654,,5.000000e+004,1.999898e+001,1.236865e-003,0.000000e+000,6.504701e-003,0.000000e+000,3,9.526117e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.159119e-003,0,0,0,
1473290254.638,,4.000000e+004,1.999790e+001,1.235554e-003,0.000000e+000,5.655479e-003,0.000000e+000,3,9.530581e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1473290267.352,,4.000000e+004,2.000060e+001,1.235457e-003,0.000000e+000,5.574229e-003,0.000000e+000,3,9.530511e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.320145e-003,0,0,0,
1473290282.597,,4.000000e+004,2.000168e+001,1.235523e-003,0.000000e+000,5.673693e-003,0.000000e+000,3,9.530857e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.079559e-003,0,0,0,
1473290295.812,,4.000000e+004,2.000088e+001,1.235380e-003,0.000000e+000,5.657190e-003,0.000000e+000,3,9.530208e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.689362e-003,0,0,0,
1473290460.041,,3.000000e+004,2.000168e+001,1.231691e-003,0.000000e+000,4.940624e-003,0.000000e+000,3,9.535140e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1473290474.009,,3.000000e+004,2.000222e+001,1.232187e-003,0.000000e+000,5.041540e-003,0.000000e+000,3,9.529760e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1473290485.723,,3.000000e+004,2.000222e+001,1.231644e-003,0.000000e+000,5.179426e-003,0.000000e+000,3,9.531863e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1473290498.946,,3.000000e+004,2.000520e+001,1.231950e-003,0.000000e+000,4.987578e-003,0.000000e+000,3,9.532868e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.949020e-003,0,1,0,
1473290660.675,,2.000000e+004,2.000735e+001,1.224167e-003,0.000000e+000,4.654588e-003,0.000000e+000,3,9.534647e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.698898e-003,0,1,0,
1473290672.639,,2.000000e+004,2.000816e+001,1.224204e-003,0.000000e+000,4.516541e-003,0.000000e+000,3,9.537311e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.079559e-003,0,1,0,
1473290684.854,,2.000000e+004,2.001167e+001,1.224248e-003,0.000000e+000,4.362837e-003,0.000000e+000,3,9.534465e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,5.302429e-004,0,1,0,
1473290696.818,,2.000000e+004,2.001140e+001,1.224378e-003,0.000000e+000,4.448406e-003,0.000000e+000,3,9.535378e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.079559e-003,0,1,0,
1473290855.310,,1.000000e+004,1.999736e+001,1.208970e-003,0.000000e+000,3.712416e-003,0.000000e+000,3,9.539001e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.159119e-003,0,1,0,
1473290869.274,,1.000000e+004,2.000141e+001,1.208626e-003,0.000000e+000,3.565722e-003,0.000000e+000,3,9.538882e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.700806e-003,0,1,0,
1473290880.488,,1.000000e+004,2.000276e+001,1.208514e-003,0.000000e+000,3.655058e-003,0.000000e+000,3,9.539157e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
