[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1473135559.194000 9/6/2016, 4:19:19 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, A344
INFO, WEIGHT, 10.500
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, m = 0.0105g
INFO, SEQUENCE FILE: 7T_hysteresis_sweep_hi_res_zero_n4.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1473135559.187,,7.000000e+004,4.000239e+001,1.071523e-003,0.000000e+000,9.328429e-003,0.000000e+000,3,9.464114e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.017975e-003,0,0,0,
1473135571.654,,7.000000e+004,4.000645e+001,1.071587e-003,0.000000e+000,9.309408e-003,0.000000e+000,3,9.463174e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.012802e-002,0,0,0,
1473135585.162,,7.000000e+004,4.000138e+001,1.071669e-003,0.000000e+000,9.254008e-003,0.000000e+000,3,9.463748e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1473135596.876,,7.000000e+004,4.000137e+001,1.071526e-003,0.000000e+000,9.200178e-003,0.000000e+000,3,9.462932e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.047394e-003,0,0,0,
1473135766.856,,6.000000e+004,3.999935e+001,1.068330e-003,0.000000e+000,7.758887e-003,0.000000e+000,3,9.459325e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1473135780.078,,6.000000e+004,4.000137e+001,1.066718e-003,0.000000e+000,8.407373e-003,0.000000e+000,3,9.468905e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.047394e-003,0,1,0,
1473135792.292,,6.000000e+004,4.000137e+001,1.067565e-003,0.000000e+000,7.996059e-003,0.000000e+000,3,9.465526e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.047394e-003,0,1,0,
1473135806.257,,6.000000e+004,4.000138e+001,1.067451e-003,0.000000e+000,7.979263e-003,0.000000e+000,3,9.466712e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1473135978.241,,5.000000e+004,4.000542e+001,1.061908e-003,0.000000e+000,7.122509e-003,0.000000e+000,3,9.465414e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.051208e-003,0,1,0,
1473135989.710,,5.000000e+004,4.000137e+001,1.061928e-003,0.000000e+000,6.832486e-003,0.000000e+000,3,9.469165e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.047394e-003,0,1,0,
1473136003.174,,5.000000e+004,4.000138e+001,1.061880e-003,0.000000e+000,7.223172e-003,0.000000e+000,3,9.461458e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1473136016.639,,5.000000e+004,4.000239e+001,1.061094e-003,0.000000e+000,7.222865e-003,0.000000e+000,3,9.464031e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.017975e-003,0,1,0,
1473136181.622,,4.000000e+004,4.000137e+001,1.056294e-003,0.000000e+000,6.545687e-003,0.000000e+000,3,9.460922e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.047394e-003,0,1,0,
1473136193.586,,4.000000e+004,4.000037e+001,1.051836e-003,0.000000e+000,6.601911e-003,0.000000e+000,3,9.468417e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.029419e-003,0,1,0,
1473136204.605,,4.000000e+004,3.999935e+001,1.053665e-003,0.000000e+000,6.823283e-003,0.000000e+000,3,9.478874e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,1,0,
1473136215.819,,4.000000e+004,4.000037e+001,1.054750e-003,0.000000e+000,5.833706e-003,0.000000e+000,3,9.473937e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.029419e-003,0,1,0,
1473136378.048,,3.000000e+004,4.000340e+001,1.043412e-003,0.000000e+000,3.690775e-003,0.000000e+000,3,9.460731e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.047394e-003,0,1,0,
1473136388.281,,3.000000e+004,4.000037e+001,1.040192e-003,0.000000e+000,5.597991e-003,0.000000e+000,3,9.459677e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.029419e-003,0,0,0,
1473136400.995,,3.000000e+004,3.999935e+001,1.041647e-003,0.000000e+000,3.943797e-003,0.000000e+000,3,9.457594e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1473136414.004,,3.000000e+004,3.999834e+001,1.045572e-003,0.000000e+000,6.877307e-003,0.000000e+000,3,9.479671e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.021790e-003,0,0,0,
