[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1473327917.195000 9/8/2016, 9:45:17 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, A344
INFO, WEIGHT, 10.500
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, m = 0.0105g
INFO, SEQUENCE FILE: cool_zero_field_magnet_reset_120K-5K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1473327917.176,,0.000000e+000,1.199974e+002,-1.275453e-006,0.000000e+000,1.321306e-001,0.000000e+000,3,2.096789e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.599426e-003,0,0,0,
1473327930.890,,0.000000e+000,1.199974e+002,-1.271870e-006,0.000000e+000,1.252706e-001,0.000000e+000,3,1.928894e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,0.000000e+000,0,0,0,
1473327943.854,,0.000000e+000,1.199958e+002,-1.269123e-006,0.000000e+000,1.319368e-001,0.000000e+000,3,2.006404e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.295898e-003,0,0,0,
1473327957.319,,0.000000e+000,1.199974e+002,-1.267225e-006,0.000000e+000,1.257770e-001,0.000000e+000,3,1.994243e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.599426e-003,0,0,0,
1473328118.302,,0.000000e+000,1.176734e+002,-1.262613e-006,0.000000e+000,1.280283e-001,0.000000e+000,3,1.929045e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.391037e-001,0,0,0,
1473328132.016,,0.000000e+000,1.172235e+002,-1.276138e-006,0.000000e+000,1.279138e-001,0.000000e+000,3,2.012239e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.837967e-001,0,0,0,
1473328146.484,,0.000000e+000,1.165905e+002,-1.275268e-006,0.000000e+000,1.250266e-001,0.000000e+000,3,2.070634e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.567001e-001,0,0,0,
1473328160.448,,0.000000e+000,1.158173e+002,-1.272119e-006,0.000000e+000,1.293782e-001,0.000000e+000,3,1.951074e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.360016e-001,0,0,0,
1473328186.342,,0.000000e+000,1.141722e+002,-1.258931e-006,0.000000e+000,1.294106e-001,0.000000e+000,3,1.837500e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.424026e-001,0,1,0,
1473328199.354,,0.000000e+000,1.133080e+002,-1.246290e-006,0.000000e+000,1.270657e-001,0.000000e+000,3,1.860500e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,7.299957e-001,0,1,0,
1473328212.176,,0.000000e+000,1.121966e+002,-1.238402e-006,0.000000e+000,1.246580e-001,0.000000e+000,3,1.709659e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,7.810974e-001,0,1,0,
1473328225.140,,0.000000e+000,1.112139e+002,-1.256835e-006,0.000000e+000,1.294758e-001,0.000000e+000,3,1.809484e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.236008e-001,0,1,0,
1473328239.105,,0.000000e+000,1.099624e+002,-1.255298e-006,0.000000e+000,1.289826e-001,0.000000e+000,3,1.978470e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.701019e-001,0,1,0,
1473328251.069,,0.000000e+000,1.090893e+002,-1.252614e-006,0.000000e+000,1.215541e-001,0.000000e+000,3,1.974328e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.761978e-001,0,1,0,
1473328264.283,,0.000000e+000,1.078459e+002,-1.239607e-006,0.000000e+000,1.280244e-001,0.000000e+000,3,1.665184e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.160301e+000,0,1,0,
1473328276.998,,0.000000e+000,1.065757e+002,-1.281755e-006,0.000000e+000,1.232817e-001,0.000000e+000,3,2.149508e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,9.722977e-001,0,1,0,
1473328292.465,,0.000000e+000,1.051539e+002,-1.255968e-006,0.000000e+000,1.310162e-001,0.000000e+000,3,1.802732e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,9.709930e-001,0,1,0,
1473328303.189,,0.000000e+000,1.041963e+002,-1.235373e-006,0.000000e+000,1.240471e-001,0.000000e+000,3,1.726341e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,9.443054e-001,0,1,0,
